chromosome	start	end	segVal	sample
5	173400001	175350000	1.85470770647793	IM_100
5	175560001	180690000	2.67090402839901	IM_100
6	210001	23970000	3.9198841278649	IM_100
6	23970001	27150000	5.2409626216798	IM_100
6	27150001	30480000	3.96852052909321	IM_100
6	30480001	41400000	4.95346258545006	IM_100
6	41400001	48120000	5.9670622651477	IM_100
6	48120001	51600000	3.87800808180725	IM_100
6	51600001	54150000	4.95346258545006	IM_100
6	54150001	55530000	3.34654499268479	IM_100
6	55530001	57180000	4.19609673103983	IM_100
6	57600001	68700000	3.36351520282783	IM_100
6	68700001	78960000	2.59267057678369	IM_100
6	78960001	79050000	-0.962939910999498	IM_100
6	79050001	91290000	2.64878752769167	IM_100
6	91290001	108870000	1.54447573956764	IM_100
6	108870001	141510000	2.90040529924899	IM_100
6	141510001	150630000	2	IM_100
6	150630001	152640000	2.54079288910109	IM_100
6	152640001	170910000	1.7874478877066	IM_100
7	30001	30960000	1.81542100555608	IM_100
7	30960001	31860000	1.25235027507322	IM_100
7	31860001	56220000	1.8603319338413	IM_100
7	56250001	57630000	0.0284299512479992	IM_100
7	62610001	67590000	2.12416735543056	IM_100
7	67590001	68280000	3.37838140558253	IM_100
7	68280001	69060000	4.20509102135909	IM_100
7	69060001	70260000	5.11444012001292	IM_100
7	70260001	71970000	3.32536183379945	IM_100
7	72720001	78810000	4.86182354935692	IM_100
7	78810001	93360000	3.80555822464349	IM_100
7	93360001	119490000	2.87378869300266	IM_100
7	119490001	137730000	3.87140692925926	IM_100
7	137730001	159120000	2.676942708871	IM_100
8	180001	6240000	0.745877886073323	IM_100
8	6240001	6660000	1.57727082197736	IM_100
8	6660001	6900000	0.479923326267927	IM_100
8	6900001	9060000	1.78931045971263	IM_100
8	9060001	11280000	0.887178765907594	IM_100
8	11280001	29550000	1.5663272863234	IM_100
8	29550001	31080000	3.73128756971561	IM_100
8	31080001	32400000	2.79020813842399	IM_100
8	32400001	33450000	3.52363472077652	IM_100
8	33450001	36930000	2.62871615571678	IM_100
8	36930001	39210000	3.90664728500987	IM_100
8	39210001	39390000	0.415584415119298	IM_100
8	39390001	49920000	3.62924543166491	IM_100
8	49920001	65370000	2.56470880705505	IM_100
8	65370001	70440000	1.87910073890337	IM_100
8	70440001	80790000	2.62270115827956	IM_100
8	80790001	82080000	3.44868202734012	IM_100
8	82080001	90690000	2.5726913054996	IM_100
8	90690001	100500000	3.93313281223731	IM_100
8	100530001	101130000	4.47965584449619	IM_100
8	101130001	110760000	7.17010122431549	IM_100
8	110760001	116370000	6.31177590836808	IM_100
8	116370001	131760000	7.21250438236248	IM_100
8	131760001	132750000	5.3274293816566	IM_100
8	132750001	136020000	6.51592366815993	IM_100
8	136020001	139770000	5.41916232756127	IM_100
8	139770001	140850000	4.6314483087374	IM_100
8	140850001	142440000	6.66524717602546	IM_100
8	142440001	143460000	4.43850657156831	IM_100
8	143460001	144330000	5.58450148769586	IM_100
8	144330001	146310000	7.32688011863624	IM_100
9	210001	1920000	5.86014043513948	IM_100
9	1920001	8760000	6.7273598819049	IM_100
9	8760001	16920000	4.32929620385909	IM_100
9	16920001	27300000	3.48075527058565	IM_100
9	27300001	27630000	4.88996688901886	IM_100
9	27630001	29490000	3.29576067177446	IM_100
9	29490001	31200000	2.1222465626307	IM_100
9	31200001	38400000	2.90860620790317	IM_100
9	38400001	103590000	2	IM_100
9	103590001	107460000	1.34103008307767	IM_100
9	107460001	119880000	2	IM_100
9	119880001	122580000	1.16799130519172	IM_100
9	122580001	1.41e+08	2	IM_100
10	120001	1170000	4.14448169479154	IM_100
10	1170001	8010000	2.85131036815287	IM_100
10	8010001	9840000	2.11456668074165	IM_100
10	9840001	15990000	2.9991635542759	IM_100
10	15990001	16860000	1.8247618247245	IM_100
10	16860001	17760000	3.04675379033597	IM_100
10	18240001	20070000	2.20707261458701	IM_100
10	20070001	23280000	3.06749947093998	IM_100
10	23280001	24120000	2.2866882344265	IM_100
10	24120001	25320000	3.14663304234241	IM_100
10	25320001	27030000	2.20320306984901	IM_100
10	27030001	35820000	3.00122907673274	IM_100
10	35820001	43800000	2.29643528342758	IM_100
10	43800001	46170000	3.02604100283582	IM_100
10	47580001	60330000	2.30619055570463	IM_100
10	60330001	65490000	2.99296896049161	IM_100
10	65490001	81360000	2.34529387757246	IM_100
10	81360001	88170000	1.39642453695938	IM_100
10	88170001	106290000	2	IM_100
10	106290001	110430000	1.19076369439001	IM_100
10	110430001	124260000	2	IM_100
10	124260001	125730000	1.25058506665462	IM_100
10	125760001	127980000	2	IM_100
10	127980001	135420000	1.40538873008862	IM_100
11	210001	4740000	2.69104447589201	IM_100
11	4740001	6480000	1.30723488584511	IM_100
11	6480001	20550000	2.89425807153426	IM_100
11	20550001	43890000	1.75026552310414	IM_100
11	43890001	47820000	2.92913150471132	IM_100
11	47820001	48210000	4.64531867277276	IM_100
11	48210001	56580000	2.28279171734333	IM_100
11	56580001	93570000	3.81212977339801	IM_100
11	93570001	96150000	2.49707005972726	IM_100
11	96150001	118860000	1.75026552310414	IM_100
11	118860001	121140000	2.82479638839059	IM_100
11	121140001	122400000	3.68560447581729	IM_100
11	122400001	129330000	2.64878752769167	IM_100
11	129330001	130800000	2	IM_100
11	130800001	134940000	1.30545948056431	IM_100
12	180001	2640000	6.96721376379801	IM_100
12	2640001	16230000	5.0408646608351	IM_100
12	16230001	18240000	4.01065281242993	IM_100
12	18240001	29100000	5.15253822862682	IM_100
12	29100001	38490000	6.62394396337152	IM_100
12	38760001	40140000	7.79318871209987	IM_100
12	40140001	57450000	2.91065725739431	IM_100
12	57450001	60390000	3.89121926804126	IM_100
12	60390001	62190000	2.92707749484083	IM_100
12	62190001	85020000	3.79898963626833	IM_100
12	85020001	107490000	2.95998112449328	IM_100
12	107490001	108780000	2	IM_100
12	108780001	113880000	2.85743687321217	IM_100
12	113880001	115680000	1.78372373048766	IM_100
12	115680001	117660000	3.03639328494792	IM_100
12	117660001	118440000	2.1974012197248	IM_100
12	118440001	118830000	3.17172127051791	IM_100
12	118830001	120090000	2	IM_100
12	120090001	121890000	3.09451803091546	IM_100
12	121890001	125520000	4.0439990187948	IM_100
12	125520001	133050000	2.93529550790902	IM_100
12	133050001	133830000	3.95524026734109	IM_100
13	19530001	34650000	2.74963778412403	IM_100
13	34650001	51600000	2	IM_100
13	51600001	53730000	3.05297404074127	IM_100
13	53730001	55860000	2.32181609576191	IM_100
13	55860001	71250000	3.30632511440645	IM_100
13	71250001	75360000	4.03065165511081	IM_100
13	75360001	78120000	3.36563795928539	IM_100
13	78120001	111990000	2.67895626022375	IM_100
13	111990001	113160000	1.58639948062589	IM_100
13	113160001	115110000	2.97646451669921	IM_100
14	20190001	62250000	1.79490014931695	IM_100
14	62250001	63660000	1.24705563661052	IM_100
14	63660001	64320000	1.85283362188555	IM_100
14	64320001	65730000	2.6206968169959	IM_100
14	65730001	68400000	1.74469951653461	IM_100
14	68400001	69270000	3.21573964442991	IM_100
14	69270001	97440000	2	IM_100
14	97440001	99810000	1.19778176702941	IM_100
14	99810001	107310000	1.85470770647793	IM_100
15	22320001	39240000	1.58639948062589	IM_100
15	39240001	43680000	3.15081112439461	IM_100
15	43680001	50220000	2	IM_100
15	50220001	53070000	3.17590724691504	IM_100
15	53130001	53820000	2	IM_100
15	53820001	74160000	4.09304066306267	IM_100
15	74160001	86460000	2.95792218065721	IM_100
15	86460001	89520000	2	IM_100
15	89520001	97290000	3.02190239250826	IM_100
15	97290001	99060000	2.19160232997994	IM_100
15	99060001	102390000	3.10492458664892	IM_100
16	90001	5130000	2.9723416950615	IM_100
16	5220001	8760000	1.51904213380162	IM_100
16	8760001	22770000	2.40025956984537	IM_100
16	22770001	26310000	1.81915634643033	IM_100
16	26310001	27180000	0.51715651071585	IM_100
16	27180001	28980000	1.56085995906544	IM_100
16	28980001	31260000	3.24306180775401	IM_100
16	31260001	56040000	1.55175432558961	IM_100
16	56040001	57720000	3.73782556750419	IM_100
16	57720001	64560000	2.65682528655071	IM_100
16	64560001	65310000	3.96630632980693	IM_100
16	65310001	74190000	1.86783550869366	IM_100
16	74190001	81780000	2.65280574925911	IM_100
16	81780001	83790000	1.7911733606497	IM_100
16	83790001	85860000	2.88811380419887	IM_100
16	85860001	87360000	1.88473779457724	IM_100
16	87360001	90150000	2.7719351969026	IM_100
17	1	2430000	2.24001686722273	IM_100
17	2430001	3480000	1.3161168462147	IM_100
17	3480001	5460000	2.16650801658023	IM_100
17	5460001	6360000	0.895662719720484	IM_100
17	6360001	10170000	2	IM_100
17	10170001	11820000	1.16799130519172	IM_100
17	11820001	44160000	1.89037781063046	IM_100
17	44160001	44280000	6.37025277501244	IM_100
17	44790001	52830000	2.13954553934682	IM_100
17	52830001	77040000	2.84314629977501	IM_100
17	77040001	77700000	1.75583449005303	IM_100
17	77700001	81090000	3.23885477977042	IM_100
18	150001	540000	4.78933915443411	IM_100
18	540001	2520000	3.35290635450564	IM_100
18	2520001	3900000	4.33156368997363	IM_100
18	3900001	5820000	2.59867077232417	IM_100
18	5820001	10890000	3.88901658134133	IM_100
18	10890001	14940000	2.93529550790902	IM_100
18	18540001	19530000	1.75026552310414	IM_100
18	19530001	24960000	3.03846472816345	IM_100
18	24960001	26820000	4.49110511162199	IM_100
18	26820001	31860000	3.74000555796246	IM_100
18	31860001	34830000	4.89935852803275	IM_100
18	34830001	35100000	3.47433470117785	IM_100
18	35100001	41910000	2.50897867904845	IM_100
18	41910001	42210000	3.81212977339801	IM_100
18	42240001	43650000	4.7870062110429	IM_100
18	43650001	44910000	6.01200082364016	IM_100
18	44910001	45330000	1.37136854402566	IM_100
18	45330001	68100000	1.81728851152768	IM_100
18	68100001	71820000	1.14004006125631	IM_100
18	71820001	74940000	2.13762211509866	IM_100
18	74940001	76710000	0.936500166023779	IM_100
18	76710001	78030000	1.81542100555608	IM_100
19	270001	1530000	2.61268274117164	IM_100
19	1530001	12630000	1.81542100555608	IM_100
19	12630001	13350000	2.52288703461876	IM_100
19	13350001	16110000	1.19427207284764	IM_100
19	16110001	18150000	1.87722237820749	IM_100
19	18150001	18930000	3.11950757977939	IM_100
19	18930001	59100000	1.88849747634835	IM_100
20	60001	7890000	2.5726913054996	IM_100
20	7890001	20820000	3.89342228367223	IM_100
20	20820001	23970000	2.89220965349142	IM_100
20	23970001	40320000	3.65522966798954	IM_100
20	40320001	42810000	2.68097014050753	IM_100
20	42810001	57750000	3.601149293607	IM_100
20	57750001	60570000	2.59267057678369	IM_100
20	60570001	62910000	3.55157691910837	IM_100
21	15480001	16170000	0.580688718492331	IM_100
21	16170001	18630000	1.3161168462147	IM_100
21	18630001	28050000	0.65461679174352	IM_100
21	28050001	31680000	2	IM_100
21	31680001	32220000	0.875315045673172	IM_100
21	32220001	43080000	2.13762211509866	IM_100
21	43080001	44820000	1.07053035418101	IM_100
21	44850001	48090000	2	IM_100
22	17280001	32460000	1.83037026339802	IM_100
22	32460001	35610000	1.13655207652308	IM_100
22	35610001	47550000	2	IM_100
22	47550001	50280000	1.24176395852717	IM_100
22	50280001	51180000	1.8266309753513	IM_100
1	840001	9990000	0.94655371509545	IM_101
1	9990001	18720000	2	IM_101
1	18720001	31170000	0.93049012535916	IM_101
1	31170001	33510000	2	IM_101
1	33540001	33690000	3.08995962359702	IM_101
1	33690001	49320000	2	IM_101
1	49320001	50010000	1.64830267551779	IM_101
1	50010001	145710000	2	IM_101
1	145710001	147390000	3.75696234347894	IM_101
1	149040001	170370000	2.39450699122713	IM_101
1	170370001	180660000	1.34615729353053	IM_101
1	180660001	181170000	2.48169778259941	IM_101
1	181170001	182430000	2.23492969843778	IM_101
1	182430001	193650000	2.49689759702006	IM_101
1	193650001	205200000	3.54019375066486	IM_101
1	205200001	234570000	2	IM_101
1	234570001	235500000	2.27937036037531	IM_101
1	235500001	249210000	1.89177848123134	IM_101
2	30001	61230000	0.924093392751983	IM_101
2	61230001	61800000	2.96162842187066	IM_101
2	61800001	66570000	2.67836883478661	IM_101
2	66570001	68580000	2.98501493778954	IM_101
2	68580001	71760000	2.6808487646422	IM_101
2	71760001	85380000	2.88427306248964	IM_101
2	85380001	86760000	3.35766630026536	IM_101
2	86760001	89130000	2.90309695169179	IM_101
2	95580001	124620000	2	IM_101
2	124620001	126360000	1.73358014220461	IM_101
2	126360001	172470000	0.879252764173607	IM_101
2	172470001	219210000	2	IM_101
2	219210001	219390000	2.74234487435632	IM_101
2	219390001	232530000	2	IM_101
2	232530001	2.43e+08	0.944942743093498	IM_101
3	90001	4620000	0.821425207946167	IM_101
3	4620001	8520000	1.7472825448514	IM_101
3	8520001	62340000	2	IM_101
3	62340001	63720000	1.6637342803739	IM_101
3	63720001	66180000	1.89035903533122	IM_101
3	66270001	67110000	2.16898714197949	IM_101
3	67110001	154470000	2	IM_101
3	154470001	168210000	2.84848963093924	IM_101
3	168210001	170010000	3.2252441397305	IM_101
3	170010001	196800000	2.91252956949386	IM_101
3	196800001	197820000	3.56931887381691	IM_101
4	90001	49080000	1.88539456259172	IM_101
4	52710001	62370000	0.885009310961363	IM_101
4	62370001	62910000	-0.129974865437418	IM_101
4	62910001	65640000	0.728546837407098	IM_101
4	65640001	74340000	1.88256022686884	IM_101
4	74340001	76080000	0.892881358367229	IM_101
4	76080001	76650000	1.85502096034232	IM_101
4	76650001	77580000	0.961098593396239	IM_101
4	77580001	80190000	1.69545579810894	IM_101
4	80190001	132060000	0.896037353151411	IM_101
4	132060001	142260000	2	IM_101
4	142260001	156360000	2.94435861065449	IM_101
4	156390001	163740000	2	IM_101
4	163740001	174930000	0.891830271321306	IM_101
4	174930001	175230000	1.35788366847725	IM_101
4	175230001	190800000	0.889729464052668	IM_101
5	60001	9990000	1.85079952686855	IM_101
5	10020001	23040000	2.93401859309609	IM_101
5	23040001	122880000	2	IM_101
5	122880001	126090000	2.15995927469949	IM_101
5	126090001	133470000	2	IM_101
5	133470001	133620000	2.98154502927556	IM_101
5	133620001	134820000	2	IM_101
5	134820001	137760000	1.85783752736352	IM_101
5	137760001	141540000	2	IM_101
5	141540001	148830000	1.81926947828438	IM_101
5	148830001	150480000	2	IM_101
5	150480001	174120000	1.88610343127728	IM_101
5	174120001	180690000	2.71068788206683	IM_101
6	210001	1110000	3.80335232311304	IM_101
6	1110001	1470000	4.71211428961385	IM_101
6	1470001	11160000	5.02740053771382	IM_101
6	11160001	11670000	5.94681694806152	IM_101
6	11670001	38610000	4.9548037733268	IM_101
6	38610001	39900000	2.94953477013812	IM_101
6	39900001	41850000	1.83255403168669	IM_101
6	41850001	44490000	2	IM_101
6	44490001	69090000	1.88397716692642	IM_101
6	69090001	151860000	0.911349133173071	IM_101
6	151860001	151950000	2	IM_101
6	151950001	170910000	0.939044616201919	IM_101
7	30001	5640000	4.11429862277702	IM_101
7	5640001	16110000	2.86465248621092	IM_101
7	16110001	16410000	3.80432157161946	IM_101
7	16410001	38970000	1.85572493124472	IM_101
7	38970001	39390000	0.885009310961363	IM_101
7	39390001	133230000	2	IM_101
7	133230001	133410000	2.73900481404697	IM_101
7	133410001	148680000	1.89603955257811	IM_101
7	148680001	148830000	1.11397065019047	IM_101
7	148860001	159120000	2	IM_101
8	180001	3960000	0.220537378148503	IM_101
8	3960001	31890000	0.894458843200617	IM_101
8	31890001	36570000	1.799767189164	IM_101
8	36570001	56730000	2	IM_101
8	56760001	58890000	2.93574079033649	IM_101
8	58890001	60240000	3.22614288293984	IM_101
8	60240001	97500000	2	IM_101
8	97500001	105690000	2.19465517058513	IM_101
8	105690001	106410000	2	IM_101
8	106410001	106980000	1.75071526438396	IM_101
8	106980001	108450000	2	IM_101
8	108450001	111540000	1.78519907486869	IM_101
8	111540001	113100000	1.54457463321714	IM_101
8	113100001	121530000	1.83045373697676	IM_101
8	121530001	124560000	0.936368205510375	IM_101
8	124560001	124890000	2	IM_101
8	124890001	144270000	0.877162891490621	IM_101
8	144270001	146310000	1.11339914723719	IM_101
9	210001	38010000	1.85009635327969	IM_101
9	38010001	38400000	2.90138341099837	IM_101
9	38400001	92220000	1.84096546170049	IM_101
9	92220001	93420000	1.27847237918955	IM_101
9	93420001	118800000	1.83185381954811	IM_101
9	118800001	120810000	1.5497922530047	IM_101
9	120810001	123330000	1.72674602617131	IM_101
9	123330001	139170000	2	IM_101
9	139200001	140520000	2.31179072342572	IM_101
9	140520001	1.41e+08	1.86418146642434	IM_101
10	120001	690000	4.24388075249231	IM_101
10	690001	8160000	3.02417698545391	IM_101
10	8160001	11160000	2.74819436512213	IM_101
10	11190001	13200000	3.01981425663114	IM_101
10	13200001	60450000	2	IM_101
10	60450001	61770000	2.20298772350971	IM_101
10	61770001	106230000	2	IM_101
10	106230001	111750000	1.76792157527199	IM_101
10	111750001	112890000	2	IM_101
10	112890001	114180000	1.78035419915978	IM_101
10	114180001	134460000	2	IM_101
10	134460001	135420000	2.39607997693413	IM_101
11	210001	870000	2.45142150955252	IM_101
11	870001	48240000	2	IM_101
11	48240001	55440000	1.57993503298508	IM_101
11	55440001	61410000	1.88043567104699	IM_101
11	61410001	68910000	2.15620250416502	IM_101
11	68910001	94440000	2	IM_101
11	94470001	94710000	2.87829520424434	IM_101
11	94710001	119280000	2	IM_101
11	119280001	130890000	3.49438051347301	IM_101
11	130890001	132660000	3.1102613334404	IM_101
11	132660001	133500000	2.16748135841349	IM_101
11	133500001	134940000	3.36682515476933	IM_101
12	180001	19980000	0.932091871304466	IM_101
12	19980001	20130000	1.41776145951468	IM_101
12	20130001	23130000	0.93049012535916	IM_101
12	23130001	65070000	2	IM_101
12	65070001	114030000	1.34615729353053	IM_101
12	114030001	116370000	1.11511399780284	IM_101
12	116370001	118830000	1.31977048677109	IM_101
12	118830001	120090000	1.11854677428637	IM_101
12	120090001	127200000	1.41461691187486	IM_101
12	127200001	132210000	0.802635432373223	IM_101
12	132210001	133830000	1.06523770777629	IM_101
13	19530001	73140000	0.911878834116619	IM_101
13	73140001	115110000	1.86770986358137	IM_101
14	20190001	21690000	1.81717567598467	IM_101
14	21690001	25410000	2	IM_101
14	25410001	29490000	1.83255403168669	IM_101
14	29490001	68160000	0.951392781805735	IM_101
14	68160001	69450000	1.14269102282045	IM_101
14	69450001	72750000	0.948165712214807	IM_101
14	72750001	72930000	1.80115724836517	IM_101
14	72930001	82290000	0.952469382884849	IM_101
14	82290001	97410000	2	IM_101
14	97410001	99750000	1.7858916555777	IM_101
14	99750001	103500000	2	IM_101
14	103500001	104190000	2.3568920165798	IM_101
14	104190001	107310000	2	IM_101
15	22320001	22800000	0.827552676381632	IM_101
15	22800001	86730000	1.88256022686884	IM_101
15	86730001	88980000	1.65031207648448	IM_101
15	88980001	102390000	1.87336122193318	IM_101
16	90001	4650000	1.05178816742274	IM_101
16	4650001	4860000	2.12625085162971	IM_101
16	4860001	28860000	0.84500290826108	IM_101
16	28860001	31380000	1.09914859153356	IM_101
16	31380001	53190000	0.879252764173607	IM_101
16	53190001	53430000	2	IM_101
16	53430001	90150000	0.917713062023287	IM_101
17	1	31410000	0.93155784208743	IM_101
17	31410001	33210000	0.792040331433885	IM_101
17	33210001	41370000	0.937438428081191	IM_101
17	41430001	49230000	2	IM_101
17	49230001	56850000	0.850676762244833	IM_101
17	56850001	79410000	2	IM_101
17	79410001	80040000	2.47850306115771	IM_101
17	80040001	81090000	2.14569869562569	IM_101
18	150001	14940000	0.919306607029354	IM_101
18	18540001	23940000	1.81996764018815	IM_101
18	23940001	24090000	3.27755952576934	IM_101
18	24090001	30240000	1.8360568009086	IM_101
18	30240001	30870000	2.16221470384339	IM_101
18	30870001	54930000	1.74385267286718	IM_101
18	54930001	78030000	2.71900272324069	IM_101
19	270001	450000	1.17227915733375	IM_101
19	450001	1530000	2.85869296617697	IM_101
19	1530001	17880000	0.993170815185719	IM_101
19	17880001	22680000	2.20147168876965	IM_101
19	22680001	29220000	1.6570174833325	IM_101
19	29220001	31140000	0.892881358367229	IM_101
19	31140001	31800000	1.88256022686884	IM_101
19	31800001	32250000	2.32031497330503	IM_101
19	32250001	36030000	2.96162842187066	IM_101
19	36030001	37710000	3.27303448669078	IM_101
19	37710001	40350000	2	IM_101
19	40410001	49080000	0.970841309213323	IM_101
19	49080001	49680000	1.26522398965125	IM_101
19	49680001	49950000	0.82857551574795	IM_101
19	49950001	50490000	1.14153674062242	IM_101
19	50490001	59100000	0.927289708820762	IM_101
20	60001	19020000	0.883961640973457	IM_101
20	19020001	24030000	1.87265440348243	IM_101
20	24030001	26160000	0.928889404531258	IM_101
20	29850001	49200000	3.03728225721228	IM_101
20	49200001	49440000	3.75599867616728	IM_101
20	49440001	49860000	3.10584279267003	IM_101
20	49860001	62040000	2	IM_101
20	62040001	62910000	2.35376928116032	IM_101
21	15480001	17100000	1.88681241386477	IM_101
21	17100001	18390000	2.22273763543436	IM_101
21	18390001	32040000	2	IM_101
21	32040001	34350000	0.887630479214971	IM_101
21	34350001	42420000	1.61429970204697	IM_101
21	42420001	42510000	2.70570444465534	IM_101
21	42510001	48090000	1.70495339696429	IM_101
22	17280001	51180000	0.93155784208743	IM_101
1	840001	17400000	2.59394963995805	IM_102
1	17400001	19230000	0.694845653797229	IM_102
1	19230001	249210000	2.35689923104378	IM_102
2	30001	99930000	2.40334712221161	IM_102
2	99930001	102210000	5.42967694961168	IM_102
2	102210001	110880000	1.7688600198031	IM_102
2	110880001	110970000	10.5068871625298	IM_102
2	111390001	169950000	2	IM_102
2	169950001	181080000	5.52962038654364	IM_102
2	181080001	190560000	7.48715639108052	IM_102
2	190560001	194430000	10.5621538235631	IM_102
2	194430001	2.43e+08	2.42272714994917	IM_102
3	90001	145710000	2.36850271003249	IM_102
3	145710001	153780000	5.80508291958529	IM_102
3	153780001	179190000	3.70800536738782	IM_102
3	179190001	186990000	2	IM_102
3	186990001	197820000	3.0989773391579	IM_102
4	90001	2010000	4.35226600606369	IM_102
4	2010001	190800000	2	IM_102
5	60001	22260000	4.13581118250694	IM_102
5	22260001	180690000	1.78394501436638	IM_102
6	210001	170910000	3.10296344956229	IM_102
7	30001	159120000	2	IM_102
8	180001	39240000	1.38388845444899	IM_102
8	39240001	39570000	-1.58571660902729	IM_102
8	39570001	135030000	2.69962104613026	IM_102
8	135030001	137160000	4.47791766873611	IM_102
8	137160001	140670000	1.44325195991426	IM_102
8	140700001	146310000	2.59785521652427	IM_102
9	210001	1.41e+08	2	IM_102
10	120001	31050000	2.34143673411404	IM_102
10	31050001	32580000	3.50475180158577	IM_102
10	32580001	34950000	5.0803523035507	IM_102
10	34950001	49620000	2.99159018473018	IM_102
10	49620001	111630000	1.76132129754512	IM_102
10	111630001	112800000	3.04323785641054	IM_102
10	112800001	135420000	1.70110212004923	IM_102
11	210001	31440000	1.54752566357469	IM_102
11	31440001	48570000	2.8254551682798	IM_102
11	48600001	62220000	1.50650216682741	IM_102
11	62220001	128580000	2.72316586872566	IM_102
11	128580001	134940000	1.12972837994604	IM_102
12	180001	104400000	2.34530141459056	IM_102
12	104400001	105750000	4.2147031999739	IM_102
12	105750001	133830000	2.54713179647109	IM_102
13	19530001	115110000	2	IM_102
14	20190001	20730000	0.237451517781174	IM_102
14	20730001	22290000	2.67609887367685	IM_102
14	22290001	22980000	0.605385457581541	IM_102
14	22980001	107310000	2.22194370796492	IM_102
15	22320001	28290000	0.519873621533602	IM_102
15	28290001	102390000	1.84060340079074	IM_102
16	90001	4830000	2.25657294379517	IM_102
