"","GeneName","EnsemblId","esti","pval","nbSegOver","plot","regionName"
"35","C1orf95","ENSG00000203685",NA,"NA",0,NA,"1-225120001-227670000-2550"
"36","ITPKB","ENSG00000143772",0.31,"0.038",5,"reg_1-225120001-227670000-2550_ENSG00000143772_ITPKB.png","1-225120001-227670000-2550"
"37","PSEN2","ENSG00000143801",0.4,"0.01",2,"reg_1-225120001-227670000-2550_ENSG00000143801_PSEN2.png","1-225120001-227670000-2550"
"38","ADCK3","ENSG00000163050",NA,"NA",0,NA,"1-225120001-227670000-2550"
"39","CDC42BPA","ENSG00000143776",0.46,"0.0036",12,"reg_1-225120001-227670000-2550_ENSG00000143776_CDC42BPA.png","1-225120001-227670000-2550"
"40","ZNF678","ENSG00000181450",0.24,"0.081",4,"reg_1-227700001-227850000-150_ENSG00000181450_ZNF678.png","1-227700001-227850000-150"
"41","SNAP47","ENSG00000143740",0.41,"0.0085",2,"reg_1-227880001-227970000-90_ENSG00000143740_SNAP47.png","1-227880001-227970000-90"
"42","JMJD4","ENSG00000081692",0.49,"0.0022",1,"reg_1-227880001-227970000-90_ENSG00000081692_JMJD4.png","1-227880001-227970000-90"
"43","PRSS38","ENSG00000185888",-0.01,"0.53",2,"reg_1-228000001-228150000-150_ENSG00000185888_PRSS38.png","1-228000001-228150000-150"
"44","WNT9A","ENSG00000143816",0.18,"0.15",2,"reg_1-228000001-228150000-150_ENSG00000143816_WNT9A.png","1-228000001-228150000-150"
"45","WNT3A","ENSG00000154342",-0.3,"0.96",3,"reg_1-228180001-228750000-570_ENSG00000154342_WNT3A.png","1-228180001-228750000-570"
"46","ARF1","ENSG00000143761",0.32,"0.032",1,"reg_1-228180001-228750000-570_ENSG00000143761_ARF1.png","1-228180001-228750000-570"
"47","C1orf35","ENSG00000143793",0.49,"0.0022",1,"reg_1-228180001-228750000-570_ENSG00000143793_C1orf35.png","1-228180001-228750000-570"
"48","MRPL55","ENSG00000162910",0.35,"0.022",1,"reg_1-228180001-228750000-570_ENSG00000162910_MRPL55.png","1-228180001-228750000-570"
"49","GUK1","ENSG00000143774",0.2,"0.12",2,"reg_1-228180001-228750000-570_ENSG00000143774_GUK1.png","1-228180001-228750000-570"
"50","GJC2","ENSG00000198835",0.48,"0.0028",1,"reg_1-228180001-228750000-570_ENSG00000198835_GJC2.png","1-228180001-228750000-570"
"51","IBA57-AS1","ENSG00000203684",NA,"NA",0,NA,"1-228180001-228750000-570"
"52","IBA57","ENSG00000181873",0.52,"0.0014",2,"reg_1-228180001-228750000-570_ENSG00000181873_IBA57.png","1-228180001-228750000-570"
"53","C1orf145","ENSG00000162913",NA,"NA",0,NA,"1-228180001-228750000-570"
"54","OBSCN","ENSG00000154358",0.4,"0.01",6,"reg_1-228180001-228750000-570_ENSG00000154358_OBSCN.png","1-228180001-228750000-570"
"55","TRIM11","ENSG00000154370",0.49,"0.0022",1,"reg_1-228180001-228750000-570_ENSG00000154370_TRIM11.png","1-228180001-228750000-570"
"56","TRIM17","ENSG00000162931",-0.14,"0.79",2,"reg_1-228180001-228750000-570_ENSG00000162931_TRIM17.png","1-228180001-228750000-570"
"57","HIST3H3","ENSG00000168148",-0.06,"0.61",1,"reg_1-228180001-228750000-570_ENSG00000168148_HIST3H3.png","1-228180001-228750000-570"
"58","HIST3H2A","ENSG00000181218",0.41,"0.0085",1,"reg_1-228180001-228750000-570_ENSG00000181218_HIST3H2A.png","1-228180001-228750000-570"
"59","HIST3H2BB","ENSG00000196890",0.42,"0.0069",1,"reg_1-228180001-228750000-570_ENSG00000196890_HIST3H2BB.png","1-228180001-228750000-570"
"60","RNF187","ENSG00000168159",0.4,"0.01",1,"reg_1-228180001-228750000-570_ENSG00000168159_RNF187.png","1-228180001-228750000-570"
"61","RHOU","ENSG00000116574",0.29,"0.044",1,"reg_1-228780001-231270000-2490_ENSG00000116574_RHOU.png","1-228780001-231270000-2490"
"62","TMEM78","ENSG00000177800",NA,"NA",0,NA,"1-228780001-231270000-2490"
"63","RAB4A","ENSG00000168118",0.23,"0.092",3,"reg_1-228780001-231270000-2490_ENSG00000168118_RAB4A.png","1-228780001-231270000-2490"
"64","SPHAR","ENSG00000213029",NA,"NA",1,"reg_1-228780001-231270000-2490_ENSG00000213029_SPHAR.png","1-228780001-231270000-2490"
"65","CCSAP","ENSG00000154429",0.31,"0.038",2,"reg_1-228780001-231270000-2490_ENSG00000154429_CCSAP.png","1-228780001-231270000-2490"
"66","ACTA1","ENSG00000143632",0.07,"0.35",1,"reg_1-228780001-231270000-2490_ENSG00000143632_ACTA1.png","1-228780001-231270000-2490"
"67","NUP133","ENSG00000069248",0.37,"0.015",3,"reg_1-228780001-231270000-2490_ENSG00000069248_NUP133.png","1-228780001-231270000-2490"
"68","ABCB10","ENSG00000135776",0.29,"0.044",2,"reg_1-228780001-231270000-2490_ENSG00000135776_ABCB10.png","1-228780001-231270000-2490"
"69","TAF5L","ENSG00000135801",0.32,"0.032",2,"reg_1-228780001-231270000-2490_ENSG00000135801_TAF5L.png","1-228780001-231270000-2490"
"70","URB2","ENSG00000135763",0.32,"0.032",2,"reg_1-228780001-231270000-2490_ENSG00000135763_URB2.png","1-228780001-231270000-2490"
"71","GALNT2","ENSG00000143641",0.33,"0.027",8,"reg_1-228780001-231270000-2490_ENSG00000143641_GALNT2.png","1-228780001-231270000-2490"
"72","PGBD5","ENSG00000177614",0.07,"0.34",5,"reg_1-228780001-231270000-2490_ENSG00000177614_PGBD5.png","1-228780001-231270000-2490"
"73","COG2","ENSG00000135775",0.44,"0.0056",3,"reg_1-228780001-231270000-2490_ENSG00000135775_COG2.png","1-228780001-231270000-2490"
"74","AGT","ENSG00000135744",0.09,"0.31",2,"reg_1-228780001-231270000-2490_ENSG00000135744_AGT.png","1-228780001-231270000-2490"
"75","CAPN9","ENSG00000135773",0.01,"0.47",2,"reg_1-228780001-231270000-2490_ENSG00000135773_CAPN9.png","1-228780001-231270000-2490"
"76","C1orf198","ENSG00000119280",0.37,"0.015",2,"reg_1-228780001-231270000-2490_ENSG00000119280_C1orf198.png","1-228780001-231270000-2490"
"77","TTC13","ENSG00000143643",0.52,"0.0012",3,"reg_1-228780001-231270000-2490_ENSG00000143643_TTC13.png","1-228780001-231270000-2490"
"78","ARV1","ENSG00000173409",0.23,"0.092",2,"reg_1-228780001-231270000-2490_ENSG00000173409_ARV1.png","1-228780001-231270000-2490"
"79","FAM89A","ENSG00000182118",0.38,"0.014",1,"reg_1-228780001-231270000-2490_ENSG00000182118_FAM89A.png","1-228780001-231270000-2490"
"80","TRIM67","ENSG00000119283",0.29,"0.053",2,"reg_1-231300001-231510000-210_ENSG00000119283_TRIM67.png","1-231300001-231510000-210"
"81","C1orf131","ENSG00000143633",0.32,"0.032",2,"reg_1-231300001-231510000-210_ENSG00000143633_C1orf131.png","1-231300001-231510000-210"
"82","GNPAT","ENSG00000116906",0.48,"0.0028",2,"reg_1-231300001-231510000-210_ENSG00000116906_GNPAT.png","1-231300001-231510000-210"
"83","EXOC8","ENSG00000116903",0.22,"0.11",1,"reg_1-231300001-231510000-210_ENSG00000116903_EXOC8.png","1-231300001-231510000-210"
"84","SPRTN","ENSG00000010072",0.28,"0.052",2,"reg_1-231300001-231510000-210_ENSG00000010072_SPRTN.png","1-231300001-231510000-210"
"85","EGLN1","ENSG00000135766",0.16,"0.17",2,"reg_1-231300001-231510000-210_ENSG00000135766_EGLN1.png","1-231300001-231510000-210"
"86","EGLN1","ENSG00000135766",0.16,"0.17",2,"reg_1-231540001-233310000-1770_ENSG00000135766_EGLN1.png","1-231540001-233310000-1770"
"87","TSNAX-DISC1","ENSG00000270106",0.1,"0.27",10,"reg_1-231540001-233310000-1770_ENSG00000270106_TSNAX-DISC1.png","1-231540001-233310000-1770"
"88","TSNAX","ENSG00000116918",0.31,"0.038",2,"reg_1-231540001-233310000-1770_ENSG00000116918_TSNAX.png","1-231540001-233310000-1770"
"89","DISC1","ENSG00000162946",0.01,"0.48",15,"reg_1-231540001-233310000-1770_ENSG00000162946_DISC1.png","1-231540001-233310000-1770"
"90","SIPA1L2","ENSG00000116991",0.28,"0.052",6,"reg_1-231540001-233310000-1770_ENSG00000116991_SIPA1L2.png","1-231540001-233310000-1770"
"91","MAP10","ENSG00000212916",0.22,"0.099",1,"reg_1-231540001-233310000-1770_ENSG00000212916_MAP10.png","1-231540001-233310000-1770"
"92","NTPCR","ENSG00000135778",0.37,"0.015",2,"reg_1-231540001-233310000-1770_ENSG00000135778_NTPCR.png","1-231540001-233310000-1770"
"93","PCNXL2","ENSG00000135749",NA,"NA",0,NA,"1-231540001-233310000-1770"
"94","PCNXL2","ENSG00000135749",NA,"NA",0,NA,"1-233340001-234900000-1560"
"95","MLK4","ENSG00000143674",NA,"NA",0,NA,"1-233340001-234900000-1560"
"96","KCNK1","ENSG00000135750",0.39,"0.013",3,"reg_1-233340001-234900000-1560_ENSG00000135750_KCNK1.png","1-233340001-234900000-1560"
"97","SLC35F3","ENSG00000183780",-0.07,"0.66",15,"reg_1-233340001-234900000-1560_ENSG00000183780_SLC35F3.png","1-233340001-234900000-1560"
"98","COA6","ENSG00000168275",0.35,"0.022",2,"reg_1-233340001-234900000-1560_ENSG00000168275_COA6.png","1-233340001-234900000-1560"
"99","TARBP1","ENSG00000059588",0.33,"0.027",4,"reg_1-233340001-234900000-1560_ENSG00000059588_TARBP1.png","1-233340001-234900000-1560"
"100","IRF2BP2","ENSG00000168264",0.15,"0.19",1,"reg_1-233340001-234900000-1560_ENSG00000168264_IRF2BP2.png","1-233340001-234900000-1560"
"101","TOMM20","ENSG00000173726",0.24,"0.081",2,"reg_1-234960001-235200000-240_ENSG00000173726_TOMM20.png","1-234960001-235200000-240"
"102","TOMM20","ENSG00000173726",0.24,"0.081",2,"reg_1-235230001-235530000-300_ENSG00000173726_TOMM20.png","1-235230001-235530000-300"
"103","RBM34","ENSG00000188739",0.44,"0.0056",2,"reg_1-235230001-235530000-300_ENSG00000188739_RBM34.png","1-235230001-235530000-300"
"104","ARID4B","ENSG00000054267",0.22,"0.11",7,"reg_1-235230001-235530000-300_ENSG00000054267_ARID4B.png","1-235230001-235530000-300"
"105","GGPS1","ENSG00000152904",0.29,"0.044",2,"reg_1-235230001-235530000-300_ENSG00000152904_GGPS1.png","1-235230001-235530000-300"
"106","TBCE","ENSG00000116957",NA,"NA",0,NA,"1-235560001-236250000-690"
"107","B3GALNT2","ENSG00000162885",0.33,"0.027",3,"reg_1-235560001-236250000-690_ENSG00000162885_B3GALNT2.png","1-235560001-236250000-690"
"108","GNG4","ENSG00000168243",0.13,"0.22",4,"reg_1-235560001-236250000-690_ENSG00000168243_GNG4.png","1-235560001-236250000-690"
"109","LYST","ENSG00000143669",0.16,"0.17",9,"reg_1-235560001-236250000-690_ENSG00000143669_LYST.png","1-235560001-236250000-690"
"110","NID1","ENSG00000116962",0.05,"0.38",4,"reg_1-235560001-236250000-690_ENSG00000116962_NID1.png","1-235560001-236250000-690"
"111","GPR137B","ENSG00000077585",0.12,"0.24",4,"reg_1-236280001-237750000-1470_ENSG00000077585_GPR137B.png","1-236280001-237750000-1470"
"112","ERO1LB","ENSG00000086619",NA,"NA",0,NA,"1-236280001-237750000-1470"
"113","EDARADD","ENSG00000186197",0.04,"0.41",6,"reg_1-236280001-237750000-1470_ENSG00000186197_EDARADD.png","1-236280001-237750000-1470"
"114","LGALS8","ENSG00000116977",0.32,"0.032",2,"reg_1-236280001-237750000-1470_ENSG00000116977_LGALS8.png","1-236280001-237750000-1470"
"115","HEATR1","ENSG00000119285",0.33,"0.027",3,"reg_1-236280001-237750000-1470_ENSG00000119285_HEATR1.png","1-236280001-237750000-1470"
"116","ACTN2","ENSG00000077522",0.2,"0.14",4,"reg_1-236280001-237750000-1470_ENSG00000077522_ACTN2.png","1-236280001-237750000-1470"
"117","MTR","ENSG00000116984",0.22,"0.11",5,"reg_1-236280001-237750000-1470_ENSG00000116984_MTR.png","1-236280001-237750000-1470"
"118","MT1HL1","ENSG00000244020",0.29,"0.074",1,"reg_1-236280001-237750000-1470_ENSG00000244020_MT1HL1.png","1-236280001-237750000-1470"
"119","RYR2","ENSG00000198626",0.34,"0.026",27,"reg_1-236280001-237750000-1470_ENSG00000198626_RYR2.png","1-236280001-237750000-1470"
"120","RYR2","ENSG00000198626",0.34,"0.026",27,"reg_1-237780001-238080000-300_ENSG00000198626_RYR2.png","1-237780001-238080000-300"
"121","ZP4","ENSG00000116996",-0.06,"0.61",2,"reg_1-237780001-238080000-300_ENSG00000116996_ZP4.png","1-237780001-238080000-300"
"122","CHRM3","ENSG00000133019",0.17,"0.16",19,"reg_1-238140001-240240000-2100_ENSG00000133019_CHRM3.png","1-238140001-240240000-2100"
"123","FMN2","ENSG00000155816",0.09,"0.31",15,"reg_1-238140001-240240000-2100_ENSG00000155816_FMN2.png","1-238140001-240240000-2100"
"124","FMN2","ENSG00000155816",0.09,"0.31",15,"reg_1-240270001-240300000-30_ENSG00000155816_FMN2.png","1-240270001-240300000-30"
"125","FMN2","ENSG00000155816",0.09,"0.31",15,"reg_1-240330001-241590000-1260_ENSG00000155816_FMN2.png","1-240330001-241590000-1260"
"126","AL646016.1","ENSG00000268365",NA,"NA",0,NA,"1-240330001-241590000-1260"
"127","GREM2","ENSG00000180875",0.15,"0.19",5,"reg_1-240330001-241590000-1260_ENSG00000180875_GREM2.png","1-240330001-241590000-1260"
"128","RGS7","ENSG00000182901",-0.12,"0.73",20,"reg_1-240330001-241590000-1260_ENSG00000182901_RGS7.png","1-240330001-241590000-1260"
"129","FH","ENSG00000091483",0.36,"0.019",2,"reg_1-241620001-242100000-480_ENSG00000091483_FH.png","1-241620001-242100000-480"
"130","KMO","ENSG00000117009",0.19,"0.14",3,"reg_1-241620001-242100000-480_ENSG00000117009_KMO.png","1-241620001-242100000-480"
"131","OPN3","ENSG00000054277",0.22,"0.11",4,"reg_1-241620001-242100000-480_ENSG00000054277_OPN3.png","1-241620001-242100000-480"
"132","CHML","ENSG00000203668",0.2,"0.12",1,"reg_1-241620001-242100000-480_ENSG00000203668_CHML.png","1-241620001-242100000-480"
"133","WDR64","ENSG00000162843",-0.07,"0.63",6,"reg_1-241620001-242100000-480_ENSG00000162843_WDR64.png","1-241620001-242100000-480"
"134","EXO1","ENSG00000174371",0.18,"0.14",2,"reg_1-241620001-242100000-480_ENSG00000174371_EXO1.png","1-241620001-242100000-480"
"135","MAP1LC3C","ENSG00000197769",0.24,"0.086",2,"reg_1-242130001-242400000-270_ENSG00000197769_MAP1LC3C.png","1-242130001-242400000-270"
"136","PLD5","ENSG00000180287",-0.03,"0.57",12,"reg_1-242130001-242400000-270_ENSG00000180287_PLD5.png","1-242130001-242400000-270"
"137","PLD5","ENSG00000180287",-0.03,"0.57",12,"reg_1-242520001-242970000-450_ENSG00000180287_PLD5.png","1-242520001-242970000-450"
"138","RP11-156E8.1","ENSG00000272195",NA,"NA",0,NA,"1-245130001-245670000-540"
"139","EFCAB2","ENSG00000203666",0.22,"0.11",6,"reg_1-245130001-245670000-540_ENSG00000203666_EFCAB2.png","1-245130001-245670000-540"
"140","KIF26B","ENSG00000162849",-0.12,"0.76",12,"reg_1-245130001-245670000-540_ENSG00000162849_KIF26B.png","1-245130001-245670000-540"
"141","TTC7A","ENSG00000068724",-0.07,"0.66",1,"reg_2-47280001-47430000-150_ENSG00000068724_TTC7A.png","2-47280001-47430000-150"
"142","C2orf61","ENSG00000239605",NA,"NA",0,NA,"2-47280001-47430000-150"
"143","RP11-761B3.1","ENSG00000273269",NA,"NA",0,NA,"2-47280001-47430000-150"
"144","CALM2","ENSG00000143933",0.07,"0.34",2,"reg_2-47280001-47430000-150_ENSG00000143933_CALM2.png","2-47280001-47430000-150"
"145","FOXP1","ENSG00000114861",0.16,"0.17",17,"reg_3-70530001-70740000-210_ENSG00000114861_FOXP1.png","3-70530001-70740000-210"
"146","FOXP1","ENSG00000114861",0.16,"0.17",17,"reg_3-71130001-73140000-2010_ENSG00000114861_FOXP1.png","3-71130001-73140000-2010"
"147","EIF4E3","ENSG00000163412",0.27,"0.06",4,"reg_3-71130001-73140000-2010_ENSG00000163412_EIF4E3.png","3-71130001-73140000-2010"
"148","GPR27","ENSG00000170837",0.32,"0.032",1,"reg_3-71130001-73140000-2010_ENSG00000170837_GPR27.png","3-71130001-73140000-2010"
"149","PROK2","ENSG00000163421",0.11,"0.28",1,"reg_3-71130001-73140000-2010_ENSG00000163421_PROK2.png","3-71130001-73140000-2010"
"150","RYBP","ENSG00000163602",0.25,"0.07",3,"reg_3-71130001-73140000-2010_ENSG00000163602_RYBP.png","3-71130001-73140000-2010"
"151","SHQ1","ENSG00000144736",0.14,"0.21",5,"reg_3-71130001-73140000-2010_ENSG00000144736_SHQ1.png","3-71130001-73140000-2010"
"152","GXYLT2","ENSG00000172986",-0.1,"0.72",4,"reg_3-71130001-73140000-2010_ENSG00000172986_GXYLT2.png","3-71130001-73140000-2010"
"153","PPP4R2","ENSG00000163605",0.07,"0.34",4,"reg_3-71130001-73140000-2010_ENSG00000163605_PPP4R2.png","3-71130001-73140000-2010"
"154","EBLN2","ENSG00000255423",0.29,"0.047",1,"reg_3-71130001-73140000-2010_ENSG00000255423_EBLN2.png","3-71130001-73140000-2010"
"155","PDZRN3","ENSG00000121440",-0.14,"0.8",9,"reg_3-73170001-75300000-2130_ENSG00000121440_PDZRN3.png","3-73170001-75300000-2130"
"156","CNTN3","ENSG00000113805",0.04,"0.41",9,"reg_3-73170001-75300000-2130_ENSG00000113805_CNTN3.png","3-73170001-75300000-2130"
"157","ROBO2","ENSG00000185008",-0.07,"0.66",57,"reg_3-75900001-75930000-30_ENSG00000185008_ROBO2.png","3-75900001-75930000-30"
"158","ROBO2","ENSG00000185008",-0.07,"0.66",57,"reg_3-75990001-79140000-3150_ENSG00000185008_ROBO2.png","3-75990001-79140000-3150"
"159","ROBO1","ENSG00000169855",0.02,"0.45",39,"reg_3-75990001-79140000-3150_ENSG00000169855_ROBO1.png","3-75990001-79140000-3150"
"160","ROBO1","ENSG00000169855",0.02,"0.45",39,"reg_3-79170001-80970000-1800_ENSG00000169855_ROBO1.png","3-79170001-80970000-1800"
"161","GBE1","ENSG00000114480",-0.11,"0.74",11,"reg_3-81030001-84150000-3120_ENSG00000114480_GBE1.png","3-81030001-84150000-3120"
"162","CADM2","ENSG00000175161",-0.2,"0.87",38,"reg_3-84180001-88380000-4200_ENSG00000175161_CADM2.png","3-84180001-88380000-4200"
"163","VGLL3","ENSG00000206538",0.08,"0.31",3,"reg_3-84180001-88380000-4200_ENSG00000206538_VGLL3.png","3-84180001-88380000-4200"
"164","CHMP2B","ENSG00000083937",-0.07,"0.66",2,"reg_3-84180001-88380000-4200_ENSG00000083937_CHMP2B.png","3-84180001-88380000-4200"
"165","POU1F1","ENSG00000064835",-0.11,"0.7",1,"reg_3-84180001-88380000-4200_ENSG00000064835_POU1F1.png","3-84180001-88380000-4200"
"166","HTR1F","ENSG00000179097",-0.35,"0.96",1,"reg_3-84180001-88380000-4200_ENSG00000179097_HTR1F.png","3-84180001-88380000-4200"
"167","CGGBP1","ENSG00000163320",0.01,"0.48",4,"reg_3-84180001-88380000-4200_ENSG00000163320_CGGBP1.png","3-84180001-88380000-4200"
"168","RP11-159G9.5","ENSG00000229729",NA,"NA",0,NA,"3-84180001-88380000-4200"
"169","ZNF654","ENSG00000175105",0.02,"0.45",1,"reg_3-84180001-88380000-4200_ENSG00000175105_ZNF654.png","3-84180001-88380000-4200"
"170","C3orf38","ENSG00000179021",0.01,"0.48",2,"reg_3-84180001-88380000-4200_ENSG00000179021_C3orf38.png","3-84180001-88380000-4200"
"171","LSAMP","ENSG00000185565",-0.19,"0.86",14,"reg_3-116340001-116760000-420_ENSG00000185565_LSAMP.png","3-116340001-116760000-420"
"172","ARGFX","ENSG00000186103",-0.03,"0.58",1,"reg_3-121290001-121830000-540_ENSG00000186103_ARGFX.png","3-121290001-121830000-540"
"173","FBXO40","ENSG00000163833",-0.18,"0.83",2,"reg_3-121290001-121830000-540_ENSG00000163833_FBXO40.png","3-121290001-121830000-540"
"174","HCLS1","ENSG00000180353",-0.04,"0.59",1,"reg_3-121290001-121830000-540_ENSG00000180353_HCLS1.png","3-121290001-121830000-540"
"175","GOLGB1","ENSG00000173230",0.24,"0.081",3,"reg_3-121290001-121830000-540_ENSG00000173230_GOLGB1.png","3-121290001-121830000-540"
"176","IQCB1","ENSG00000173226",0.1,"0.28",3,"reg_3-121290001-121830000-540_ENSG00000173226_IQCB1.png","3-121290001-121830000-540"
"177","EAF2","ENSG00000145088",0.15,"0.19",3,"reg_3-121290001-121830000-540_ENSG00000145088_EAF2.png","3-121290001-121830000-540"
"178","SLC15A2","ENSG00000163406",0.07,"0.34",3,"reg_3-121290001-121830000-540_ENSG00000163406_SLC15A2.png","3-121290001-121830000-540"
"179","ILDR1","ENSG00000145103",0.01,"0.48",3,"reg_3-121290001-121830000-540_ENSG00000145103_ILDR1.png","3-121290001-121830000-540"
"180","CD86","ENSG00000114013",0.07,"0.35",2,"reg_3-121290001-121830000-540_ENSG00000114013_CD86.png","3-121290001-121830000-540"
"181","CASR","ENSG00000036828",0.07,"0.34",4,"reg_3-121860001-122430000-570_ENSG00000036828_CASR.png","3-121860001-122430000-570"
"182","CSTA","ENSG00000121552",0.01,"0.47",1,"reg_3-121860001-122430000-570_ENSG00000121552_CSTA.png","3-121860001-122430000-570"
"183","CCDC58","ENSG00000160124",0.2,"0.12",2,"reg_3-121860001-122430000-570_ENSG00000160124_CCDC58.png","3-121860001-122430000-570"
"184","FAM162A","ENSG00000114023",-0.08,"0.69",2,"reg_3-121860001-122430000-570_ENSG00000114023_FAM162A.png","3-121860001-122430000-570"
"185","WDR5B","ENSG00000196981",0.05,"0.4",1,"reg_3-121860001-122430000-570_ENSG00000196981_WDR5B.png","3-121860001-122430000-570"
"186","KPNA1","ENSG00000114030",0.15,"0.19",4,"reg_3-121860001-122430000-570_ENSG00000114030_KPNA1.png","3-121860001-122430000-570"
"187","PARP9","ENSG00000138496",0.29,"0.044",3,"reg_3-121860001-122430000-570_ENSG00000138496_PARP9.png","3-121860001-122430000-570"
"188","DTX3L","ENSG00000163840",0.32,"0.032",1,"reg_3-121860001-122430000-570_ENSG00000163840_DTX3L.png","3-121860001-122430000-570"
"189","PARP15","ENSG00000173200",0.08,"0.31",3,"reg_3-121860001-122430000-570_ENSG00000173200_PARP15.png","3-121860001-122430000-570"
"190","PARP14","ENSG00000173193",0.35,"0.022",2,"reg_3-121860001-122430000-570_ENSG00000173193_PARP14.png","3-121860001-122430000-570"
